case,slice_thickness,pixel_spacing,rows,cols,kvp,n_slices
20116,3.0,0.697265625,512,512,,175
20117,1.0,0.84375,512,512,,595
20118,2.5,0.765625,512,512,,166
20119,5.0,0.7295234375,512,512,,110
20120,5.0,0.881,512,512,,99
20121,1.25,0.933594,512,512,,414
20122,5.0,0.7890625,512,512,,52
20123,3.0,0.763,512,512,,166
20124,5.0,0.916016,512,512,,110
20125,4.0,0.683594,512,512,,71
20126,3.0,0.723,512,512,,141
20127,3.0,0.76171875,512,512,,299
20128,1.25,0.673828,512,512,,367
20129,1.25,0.972656,512,512,,474
20130,3.0,0.66,512,512,,141
20131,2.5,0.703125,512,512,,199
20132,2.5,0.802734,512,512,,186
20133,2.5,0.839844,512,512,,209
20134,2.0,0.9,512,512,,541
20135,3.0,0.877,512,512,,144
20136,1.5,0.771484375,512,512,,417
20137,1.0,0.995,512,512,,561
20138,5.0,0.87030859375,512,512,,92
20139,2.0,0.7578125,512,512,,219
20140,5.0,0.9765625,512,512,,115
20141,1.25,0.851562,512,512,,452
20142,1.5,0.927734375,512,512,,444
20143,5.0,0.951172,512,512,,140
20144,1.25,0.976562,512,512,,432
20145,2.5,0.640625,512,512,,173
20146,2.5,0.804688,512,512,,211
20147,1.0,0.746,512,512,,516
20148,5.0,0.724,512,512,,87
20149,3.0,0.9765625,512,512,,190
20150,5.0,0.859375,512,512,,86
20151,2.5,0.976562,512,512,,281
20152,3.0,0.802734,512,512,,161
20153,3.0,0.761,512,512,,2378
20154,5.0,0.884765625,512,512,,108
20155,5.0,1.03,512,512,,98
20156,3.0,0.801,512,512,,144
20157,5.0,0.923,512,512,,103
20158,5.0,0.854,512,512,,95
20159,2.5,0.884766,512,512,,186
20160,2.0,0.90156640625,512,512,,352
20161,5.0,0.716796875,512,512,,95
20162,5.0,0.882,512,512,,135
20163,2.5,0.832031,512,512,,166
20164,1.5,0.86328125,512,512,,386
20165,3.0,0.669921875,512,512,,161
20166,1.0,0.900390625,512,512,,530
20167,1.0,0.767578125,512,512,,961
20168,5.0,0.724,512,512,,123
20169,1.5,0.84765625,512,512,,281
20170,1.25,0.878906,512,512,,352
20171,5.0,0.724,512,512,,95
20172,3.0,0.96484375,512,512,,159
20173,2.5,0.808594,512,512,,207
20174,2.0,0.949,512,512,,243
20175,2.0,0.701171875,512,512,,276
20176,2.5,0.904297,512,512,,228
20177,3.0,0.732421875,512,512,,128
20178,5.0,0.839844,512,512,,106
20179,2.5,0.738281,512,512,,186
20180,5.0,0.845703,512,512,,110
20181,1.25,0.703125,512,512,,354
20182,1.5,0.9765625,512,512,,354
20183,5.0,0.892578,512,512,,196
20184,2.0,0.761,512,512,,340
20185,5.0,0.866,512,512,,87
20186,3.0,0.900390625,512,512,,181
20187,2.5,0.552734,512,512,,153
20188,3.0,0.766,512,512,,170
20189,5.0,0.60026,768,768,,108
20190,1.25,0.875,512,512,,376
20191,3.0,0.84375,512,512,,191
20192,2.0,0.9765625,512,512,,325
20193,10.0,0.7421875,512,512,,42
20194,5.0,0.766,512,512,,87
20195,3.0,0.541015625,512,512,,150
20196,3.0,0.72740234375,512,512,,174
20197,3.0,0.75762109375,512,512,,195
20198,3.0,0.7578125,512,512,,147
20199,1.25,0.839844,512,512,,472
20200,5.0,0.863281,512,512,,98
20201,5.0,0.879,512,512,,193
20202,3.0,0.831,512,512,,184
20203,3.75,0.771484,512,512,,149
20204,2.0,0.723,512,512,,116
20205,5.0,0.586,512,512,,81
20206,6.0,0.869140625,512,512,,154
20207,2.5,0.703125,512,512,,209
20208,2.0,0.919,512,512,,285
20209,1.25,0.976562,512,512,,487
20210,1.25,0.976562,512,512,,382
20211,1.25,0.878906,512,512,,491
20212,1.25,0.853516,512,512,,571
20213,1.25,0.853516,512,512,,412
20214,1.25,0.878906,512,512,,531
20215,1.25,0.878906,512,512,,385
20216,1.25,0.878906,512,512,,515
20217,1.25,0.976562,512,512,,382
20218,1.25,0.878906,512,512,,529
20219,1.25,0.878906,512,512,,427
20220,1.25,0.976562,512,512,,655
20221,1.25,0.972656,512,512,,517
20222,1.25,0.976562,512,512,,499
20223,1.25,0.976562,512,512,,379
20224,1.25,0.912109,512,512,,543
20225,1.25,0.912109,512,512,,427
20226,1.25,0.976562,512,512,,377
20227,5.0,0.916015625,512,512,,249
20228,3.0,0.75762109375,512,512,,151
20229,2.0,0.808,512,512,,228
20230,1.5,0.837890625,512,512,,485
20231,1.25,0.978,512,512,,408
20232,5.0,0.9765625,512,512,,102
20233,5.0,0.9765625,512,512,,110
20234,3.0,0.761,512,512,,320
20235,1.25,0.839844,512,512,,417
20236,5.0,0.7491484375,512,512,,100
20237,5.0,0.9765625,512,512,,128
20238,5.0,0.908203,512,512,,99
20239,5.0,0.716796875,512,512,,90
20240,5.0,0.976563,512,512,,222
20241,5.0,0.976562,512,512,,110
20242,5.0,0.801,512,512,,99
20243,5.0,0.976562,512,512,,98
20244,5.0,0.826,512,512,,98
20245,5.0,0.782,512,512,,94
20246,2.0,0.658203125,512,512,,281
20247,5.0,0.763,512,512,,95
20248,1.0,0.824,512,512,,832
20249,1.5,0.755859375,512,512,,402
20250,5.0,0.927734,512,512,,127
20251,1.25,0.820312,512,512,,376
20252,1.25,0.976562,512,512,,585
20253,5.0,0.801,512,512,,89
20254,1.25,0.957031,512,512,,369
20255,5.0,0.885,512,512,,186
20256,1.25,0.859375,512,512,,377
20257,5.0,0.646484,512,512,,96
20258,5.0,0.763,512,512,,85
20259,5.0,0.782,512,512,,106
20260,5.0,0.686,512,512,,96
20261,1.5,0.7578125,512,512,,341
20262,5.0,0.976562,512,512,,216
20263,1.25,0.976562,512,512,,380
20264,5.0,0.793,512,512,,85
20265,1.0,0.801,512,512,,421
20266,5.0,0.766,512,512,,101
20267,1.25,0.859375,512,512,,427
20268,5.0,0.708984375,512,512,,94
20269,1.0,0.955,512,512,,460
20270,5.0,0.879,512,512,,183
20271,5.0,0.763,512,512,,85
20272,3.0,0.90625,512,512,,197
20273,5.0,0.938,512,512,,112
20274,1.25,0.873047,512,512,,472
20275,2.0,0.7578125,512,512,,304
20276,3.0,0.866,512,512,,172
20277,2.0,0.896,512,512,,238
20278,2.0,1.049,512,512,,497
20279,1.5,0.9765625,512,512,,489
20280,1.5,0.86328125,512,512,,419
20281,3.0,0.78125,512,512,,150
20282,1.5,0.9765625,512,512,,322
20283,5.0,0.9,512,512,,92
20284,2.0,0.789,512,512,,119
20285,3.0,0.923,512,512,,193
20286,1.25,0.975,512,512,,399
20287,2.0,0.684,512,512,,211
20288,2.0,0.816,512,512,,258
20289,5.0,0.783,512,512,,90
20290,5.0,0.782,512,512,,91
20291,5.0,0.918,512,512,,105
20292,2.5,0.785156,512,512,,561
20293,5.0,0.759,512,512,,84
20294,1.5,0.765625,512,512,,608
20295,1.0,0.824,512,512,,465
20296,5.0,0.869141,512,512,,175
20297,3.0,0.808,512,512,,215
20298,5.0,0.858,512,512,,108
20299,3.0,0.796875,512,512,,216
20300,5.0,0.970703125,512,512,,92
20301,1.25,0.779297,512,512,,386
20302,2.5,0.703125,512,512,,182
20303,2.0,0.843,512,512,,228
20304,3.0,0.8828125,512,512,,342
20305,1.25,0.963,512,512,,395
20306,1.25,0.976562,512,512,,361
20307,5.0,0.976562,512,512,,108
20308,1.4,0.958984375,512,512,,344
20309,2.0,0.9765625,512,512,,249
20310,1.0,1.129,512,512,,551
20311,1.25,0.976562,512,512,,401
20312,1.5,0.9765625,512,512,,336
20313,1.25,0.773438,512,512,,409
20314,0.5,1.007,512,512,,1381
20315,2.0,0.740234375,512,512,,277
20316,5.0,0.747,512,512,,94
20317,5.0,0.6640625,512,608,,113
20318,1.0,0.85,512,512,,576
20319,1.25,0.976562,512,512,,422
20320,2.5,0.976562,512,512,,255
20321,3.0,0.9317421875,512,512,,172
20322,2.0,1.087,512,512,,363
20323,3.0,0.861328125,512,512,,172
20324,1.25,0.880859,512,512,,449
20325,1.4,0.9765625,512,512,,429
20326,1.0,0.7265625,512,512,,477
20327,1.25,0.896,512,512,,381
20328,1.25,0.96875,512,512,,421
20329,3.0,0.841796875,512,512,,177
20330,3.0,0.900390625,512,512,,154
20331,3.0,0.82421875,512,512,,169
20332,5.0,0.976562,512,512,,150
20333,3.0,0.8046875,512,512,,308
20334,1.5,0.955078125,512,512,,577
20335,2.0,0.8046875,512,512,,258
20336,1.0,0.8671875,512,512,,471
20337,5.0,0.938,512,512,,107
20338,3.0,0.7578125,512,512,,168
20339,1.25,0.832,512,512,,399
20340,5.0,0.839844,512,512,,92
20341,3.0,0.7578125,512,512,,222
20342,2.5,0.976562,512,512,,193
20343,5.0,0.697266,512,512,,162
20344,5.0,0.763,512,512,,85
20345,5.0,0.816,512,512,,97
20346,3.0,0.757813,512,512,,160
20347,1.0,0.85,512,512,,449
20348,5.0,0.991,512,512,,143
20349,1.25,0.666016,512,512,,189
20350,1.25,0.832031,512,512,,264
20351,3.0,0.724,512,512,,345
20352,3.0,0.82421875,512,512,,151
20353,2.0,0.858,512,512,,244
20354,2.0,0.763,512,512,,293
20355,1.25,0.839844,512,512,,376
20356,1.25,0.878906,512,512,,462
20357,1.0,0.75743359375,512,512,,528
20358,2.0,0.732,512,512,,262
20359,1.0,0.763,512,512,,443
20360,5.0,0.6328125,512,512,,92
20361,3.0,0.900390625,512,512,,170
20362,1.0,0.896,512,512,,461
20363,5.0,0.5955628059,512,613,,97
20364,2.0,0.6167890625,512,512,,219
20365,5.0,0.871094,512,512,,96
20366,2.5,0.917969,512,512,,187
20367,5.0,0.832031,512,512,,173
20368,5.0,0.922,512,512,,199
20369,1.0,0.793,512,512,,594
20370,5.0,0.976562,512,512,,128
20371,3.0,0.812,512,512,,154
20372,3.0,0.782,512,512,,152
20373,4.0,0.9765625,512,512,,148
20374,1.0,0.976,512,512,,658
20375,5.0,0.7578125,512,512,,116
20376,1.4,0.890625,512,512,,354
20377,5.0,0.86328125,512,512,,90
20378,6.0,0.697265625,512,512,,73
20379,1.25,0.878906,512,512,,431
20380,3.0,0.9765625,512,512,,176
20381,5.0,0.976562,512,512,,126
20382,2.0,0.74609375,512,512,,271
20383,1.0,0.8828125,512,512,,696
20384,6.0,0.8203125,512,512,,86
20385,1.25,0.978,512,512,,391
20386,3.0,0.6415741056,512,587,,186
20387,2.0,0.869141,512,512,,226
20388,5.0,0.806,512,512,,98
20389,3.0,0.761,512,512,,149
20390,5.0,0.763,512,512,,96
20391,2.0,0.938,512,512,,221
20392,2.0,0.858,512,512,,289
20393,5.0,0.751953,512,512,,47
20394,5.0,0.966797,512,512,,92
20395,2.5,0.746094,512,512,,245
20396,5.0,1.263,512,512,,95
20397,1.0,0.77,512,512,,607
20398,3.0,0.849609375,512,512,,335
20399,3.0,0.87890625,512,512,,164
20400,1.0,0.763,512,512,,526
20401,1.25,0.886719,512,512,,377
20402,3.0,0.669375,512,512,,136
20403,2.5,0.875,512,512,,218
20404,2.0,0.64630078125,512,512,,215
20405,2.5,0.708984,512,512,,488
20406,3.0,0.9765625,512,512,,165
20407,1.25,0.820312,512,512,,369
20408,5.0,0.78125,512,512,,94
20409,5.0,0.865234375,512,512,,100
20410,5.0,0.814453,512,512,,89
20411,5.0,0.751,512,512,,101
20412,5.0,0.976562,512,512,,99
20413,2.0,0.846,512,512,,260
20414,1.25,0.804688,512,512,,358
20415,5.0,0.966796875,512,512,,118
20416,1.25,0.929688,512,512,,509
20417,5.0,0.740234,512,512,,99
20418,1.25,0.800781,512,512,,397
20419,4.0,0.843,512,512,,110
20420,2.5,0.755859,512,512,,201
20421,2.5,0.839844,512,512,,297
20422,2.5,0.976562,512,512,,201
20423,5.0,0.976562,512,512,,123
20424,2.5,0.808594,512,512,,190
20425,5.0,0.831,512,512,,95
20426,3.0,0.782,512,512,,163
20427,1.0,0.846,512,512,,525
20428,1.5,0.9556328125,512,512,,352
20429,5.0,0.93,512,512,,205
20430,2.0,0.9765625,512,512,,267
20431,5.0,0.763,512,512,,95
20432,5.0,0.741,512,512,,88
20433,1.5,0.9765625,512,512,,494
20434,3.0,0.806640625,512,512,,326
20435,3.0,0.873046875,512,512,,188
20436,5.0,0.816406,512,512,,91
20437,1.25,0.970703,512,512,,478
20438,5.0,0.82,512,512,,89
20439,5.0,0.82679296875,512,512,,96
20440,5.0,0.805,512,512,,101
20441,5.0,0.75908203125,512,512,,99
20442,3.0,0.853515625,512,512,,106
20443,3.0,0.934,512,512,,169
20444,3.0,0.734375,512,512,,338
20445,3.0,0.80859375,512,512,,311
20446,5.0,0.801,512,512,,125
20447,1.5,0.9765625,512,512,,403
20448,2.5,0.736328,512,512,,195
20449,3.0,0.797,512,512,,143
20450,5.0,0.86328125,512,512,,95
20451,3.0,0.957,512,512,,162
20452,5.0,0.6263667883,512,548,,126
20453,1.0,0.723,512,512,,513
20454,2.0,0.789,512,512,,471
20455,5.0,0.970703125,512,512,,130
20456,2.0,0.743,512,512,,219
20457,3.0,0.6015625,512,512,,144
20458,1.0,0.865234375,512,512,,471
20459,3.0,0.91796875,512,512,,381
20460,1.0,0.778,512,512,,657
20461,3.0,0.9453125,512,512,,161
20462,2.0,0.723,512,512,,211
20463,3.0,0.85901171875,512,512,,155
20464,1.25,0.976562,512,512,,401
20465,3.0,0.5941756549,512,649,,154
20466,2.0,0.743,512,512,,272
20467,3.0,0.94921875,512,512,,205
20468,2.0,0.723,512,512,,274
20469,2.0,1.083,512,512,,335
20470,1.25,0.976562,512,512,,224
20471,2.5,0.779297,512,512,,187
20472,3.0,0.83984375,512,512,,338
20473,3.0,0.9765625,512,512,,166
20474,5.0,0.892578,512,512,,91
20475,5.0,0.502604,768,768,,98
20476,1.25,0.839844,512,512,,222
20477,3.0,0.801,512,512,,163
20478,0.6,0.97607421875,512,512,,862
20479,5.0,0.955078125,512,512,,264
20480,5.0,0.835,512,512,,102
20481,5.0,0.724,512,512,,99
20482,1.0,0.915,512,512,,663
20483,2.5,0.869141,512,512,,195
20484,1.25,0.703125,512,512,,397
20485,1.25,0.976562,512,512,,424
20486,5.0,0.77,512,512,,106
20487,5.0,0.831,512,512,,85
20488,0.8,0.841796875,512,512,,594
20489,5.0,0.873,512,512,,102
20490,1.25,0.703125,512,512,,935
20491,5.0,0.9673515625,512,512,,88
20492,1.25,0.710938,512,512,,412
20493,3.0,0.91894140625,512,512,,176
20494,3.0,0.93684765625,512,512,,144
20495,5.0,0.9765625,512,512,,104
20496,3.0,0.806640625,512,512,,318
20497,1.25,0.876953,512,512,,552
20498,5.0,0.726562,512,512,,104
20499,5.0,0.782,512,512,,97
20500,2.5,0.861328,512,512,,202
20501,5.0,0.85,512,512,,191
20502,3.0,0.9765625,512,512,,167
20503,2.5,0.914062,512,512,,209
20504,2.5,0.914062,512,512,,390
20505,1.5,0.83984375,512,512,,330
20506,3.0,0.9765625,512,512,,350
20507,3.0,0.892578,512,512,,263
20508,1.5,0.87890625,512,512,,451
20509,5.0,0.97265625,512,512,,228
20510,1.25,0.904297,512,512,,518
20511,5.0,0.603515625,512,512,,87
20512,0.6,0.70703125,512,512,,791
20513,1.25,0.703125,512,512,,329
20514,1.25,0.845703,512,512,,452
20515,5.0,0.826,512,512,,93
20516,2.5,0.925781,512,512,,247
20517,2.0,0.82,512,512,,276
20518,5.0,0.976562,512,512,,131
20519,5.0,0.724,512,512,,110
20520,1.25,0.822,512,512,,399
20521,5.0,0.797,512,512,,99
20522,1.0,0.867188,512,512,,513
20523,5.0,0.846,512,512,,104
20524,5.0,0.978,512,512,,106
20525,2.0,0.869,512,512,,261
20526,1.0,0.896,512,512,,601
20527,5.0,0.879,512,512,,89
20528,1.25,0.976562,512,512,,380
20529,5.0,0.94921875,512,512,,88
20530,1.25,0.873,512,512,,374
20531,5.0,0.8398438,512,512,,98
20532,5.0,0.838,512,512,,193
20533,5.0,0.8359375,512,512,,95
20534,3.0,0.6988046875,512,512,,137
20535,5.0,0.946,512,512,,104
20536,3.75,0.703125,512,512,,137
20537,5.0,0.91015625,512,512,,94
20538,1.5,0.976563,512,512,,576
20539,5.0,0.879,512,512,,92
20540,5.0,0.953125,512,512,,102
20541,5.0,0.976562,512,512,,101
20542,1.0,0.782,512,512,,563
20543,2.0,0.744140625,512,512,,232
20544,2.0,0.744140625,512,512,,83
20545,3.0,0.751953125,512,512,,241
20546,5.0,0.7578125,512,512,,112
20547,2.0,0.87109375,512,512,,272
20548,2.0,0.84765625,512,512,,222
20549,5.0,0.880859375,512,512,,119
20550,3.0,0.8984375,512,512,,405
20551,5.0,0.858,512,512,,104
20552,1.25,0.839844,512,512,,525
20553,1.25,0.800781,512,512,,952
20554,2.0,0.805,512,512,,342
20555,2.0,0.805,512,512,,416
20556,2.5,0.976562,512,512,,295
20557,3.0,0.907,512,512,,238
20558,3.0,0.732,512,512,,241
20559,5.0,0.857421875,512,512,,120
20560,1.25,0.730469,512,512,,993
20561,2.0,0.759765625,512,512,,338
20562,1.0,0.692,512,512,,591
20563,1.0,0.763,512,512,,546
20564,1.0,0.763,512,512,,803
20565,1.5,0.9765625,512,512,,360
20566,0.625,0.976563,512,512,,2328
20567,5.0,0.9,512,512,,118
20568,2.0,0.907,512,512,,251
20569,6.0,0.8203125,512,512,,72
20570,2.0,0.880859375,512,512,,208
20571,2.0,0.63671875,512,512,,216
20572,5.0,0.703125,512,512,,90
20573,3.0,0.939453125,512,512,,169
20574,1.25,0.771484,512,512,,819
20575,1.5,0.9765625,512,512,,618
20576,1.5,0.912109375,512,512,,1055
20577,1.5,0.9765625,512,512,,358
20578,5.0,0.69921875,512,512,,156
20579,5.0,0.69921875,512,512,,156
20580,3.0,0.80880859375,512,512,,199
20581,5.0,0.763,512,512,,95
20582,1.5,0.651041667,768,768,,954
20583,1.25,0.839844,512,512,,540
20584,5.0,0.686,512,512,,82
20585,2.0,0.814453125,512,512,,98
20586,2.0,0.814453125,512,512,,98
20587,1.5,0.9765625,512,512,,365
20588,3.75,0.833984,512,512,,180
20589,1.0,0.854,512,512,,684
20590,1.0,0.839,512,512,,739
20591,2.5,0.839844,512,512,,200
20592,5.0,0.839844,512,512,,100
20593,1.0,0.9,512,512,,792
20594,5.0,0.7734375,512,512,,143
20595,0.75,0.8125,512,512,,1476
20596,5.0,0.839844,512,512,,130
20597,1.25,0.742188,512,512,,400
20598,1.25,0.769531,512,512,,1085
20599,5.0,0.76953125,512,512,,330
20600,5.0,0.892,512,512,,119
20601,1.25,0.976562,512,512,,408
20602,2.0,0.73828125,512,512,,210
20603,3.0,0.8203125,512,512,,155
20604,3.0,0.793,512,512,,235
20605,3.0,0.683,512,512,,231
20606,1.5,0.974609375,512,512,,565
20607,3.0,0.801,512,512,,235
20608,3.0,0.808,512,512,,209
20609,3.75,0.976562,512,512,,173
20610,5.0,0.81,512,512,,112
20611,2.5,0.759766,512,512,,266
20612,5.0,0.808,512,512,,92
20613,2.0,0.839,512,512,,601
20614,5.0,0.856,512,512,,124
20615,1.0,0.79296875,512,512,,535
20616,1.0,0.748046875,512,512,,670
20617,3.0,0.866,512,512,,213
20618,3.0,0.916015625,512,512,,228
20619,3.0,0.782,512,512,,142
20620,5.0,0.88671875,512,512,,101
20621,5.0,0.972,512,512,,102
20622,0.625,0.933594,512,512,,831
20623,0.75,0.869140625,512,512,,1577
20624,2.0,0.723,512,512,,223
20625,2.0,0.976,512,512,,432
20626,5.0,0.828125,512,512,,140
20627,2.0,0.890625,512,512,,315
20628,3.75,0.839844,512,512,,192
20629,1.5,0.5500195195,512,666,,534
20630,1.5,0.9765625,512,512,,406
20631,1.0,0.881,512,512,,811
20632,1.0,0.81640625,512,512,,698
20633,1.5,0.681640625,512,512,,429
20634,1.5,0.9274921875,512,512,,364
20635,5.0,0.701171875,512,512,,177
20636,1.25,0.808594,512,512,,360
20637,1.0,0.978,512,512,,604
20638,2.0,0.766,512,512,,438
20639,5.0,0.789,512,512,,114
20640,1.0,0.808,512,512,,799
20641,2.5,0.703125,512,512,,261
20642,3.0,0.9765625,512,512,,491
20643,1.25,0.976562,512,512,,563
20644,1.25,0.976562,512,512,,397
20645,1.0,0.915,512,512,,693
20646,6.0,0.728515625,512,512,,71
20647,3.0,0.83203125,512,512,,281
20648,5.0,0.881,512,512,,102
20649,1.0,0.927,512,512,,782
20650,5.0,0.679,512,512,,79
20651,1.25,0.837891,512,512,,421
20652,3.0,0.82421875,512,512,,161
20653,0.625,0.832031,512,512,,1089
20654,5.0,0.789,512,512,,97
20655,1.25,0.773438,512,512,,938
20656,0.625,0.703125,512,512,,2216
20657,1.25,0.869141,512,512,,460
20658,2.0,0.824,512,512,,227
20659,5.0,0.882812,512,512,,148
20660,3.0,0.8046875,512,512,,407
20661,2.5,0.742188,512,512,,369
20662,5.0,0.923,512,512,,100
20663,1.0,0.7734375,512,512,,629
20664,1.25,0.839844,512,512,,375
20665,5.0,0.878906,512,512,,110
20666,3.0,0.991,512,512,,233
20667,2.5,0.650391,512,512,,254
20668,1.0,0.939,512,512,,526
20669,0.625,0.859375,512,512,,801
20670,5.0,0.6015625,512,512,,157
20671,3.0,0.782,512,512,,146
20672,2.0,0.826171875,512,512,,541
20673,5.0,0.783,512,512,,90
20674,5.0,0.85,512,512,,43
20675,3.0,0.831,512,512,,239
20676,2.5,0.697266,512,512,,336
20677,3.0,0.869,512,512,,228
20678,1.0,0.782,512,512,,676
20679,3.0,0.645,512,512,,145
20680,5.0,0.888,512,512,,101
20681,5.0,0.95703125,512,512,,304
20682,5.0,0.7578125,512,512,,139
20683,1.0,0.801,512,512,,807
20684,1.25,0.84375,512,512,,866
20685,5.0,0.938,512,512,,88
20686,1.0,0.885,512,512,,501
20687,0.5,0.782,512,512,,443
20688,2.0,0.938,512,512,,302
20689,1.5,0.87109375,512,512,,699
20690,3.0,0.724,512,512,,178
20691,1.0,0.88671875,512,512,,805
20692,1.0,0.862,512,512,,531
20693,2.0,0.9765625,512,512,,314
20694,1.25,0.910156,512,512,,466
20695,3.0,0.927,512,512,,175
20696,5.0,0.976563,512,512,,91
20697,5.0,0.931640625,512,512,,124
20698,5.0,0.862,512,512,,139
20699,1.0,0.927,512,512,,701
20700,2.0,0.846,512,512,,313
20701,1.0,0.907,512,512,,596
20702,0.75,0.9765625,512,512,,967
20703,5.0,0.703125,512,512,,95
20704,1.25,0.951172,512,512,,445
20705,1.5,0.849609375,512,512,,1007
20706,1.5,0.9765625,512,512,,952
20707,2.5,0.960938,512,512,,231
20708,1.25,0.976562,512,512,,370
20709,2.5,0.8125,512,512,,181
20710,5.0,0.755,512,512,,80
20711,0.625,0.738281,512,512,,787
20712,1.0,0.957,512,512,,456
20713,2.0,0.957,512,512,,506
20714,2.5,0.921875,512,512,,399
20715,2.5,0.921875,512,512,,226
20716,1.5,0.921875,512,512,,159
20717,3.0,0.6543401869,512,535,,153
20718,1.0,0.781,512,512,,1654
20719,1.25,0.794922,512,512,,492
20720,5.0,0.869,512,512,,62
20721,1.0,0.763,512,512,,589
20722,1.5,0.888671875,512,512,,358
20723,1.0,0.741,512,512,,588
20724,1.0,0.6640625,512,512,,655
20725,3.0,0.9,512,512,,242
20726,1.25,0.845,512,512,,490
20727,5.0,0.976562,512,512,,135
20728,1.0,0.80078125,512,512,,688
20729,5.0,0.761,512,512,,87
20730,1.0,0.66,512,512,,657
20731,3.0,0.831,512,512,,190
20732,5.0,0.843,512,512,,98
20733,3.0,0.888671875,512,512,,326
