case,slice_thickness,pixel_spacing,rows,cols,kvp,n_slices
20056,2.5,0.888,512,512,,448
20057,1.0,0.976,512,512,,456
20058,2.0,0.814453125,512,512,,247
20059,3.0,0.7578125,512,512,,149
20060,2.5,0.933594,512,512,,223
20061,3.0,0.90625,512,512,,159
20062,5.0,0.839844,512,512,,98
20063,3.0,0.757625,512,512,,181
20064,1.5,0.7109375,512,512,,301
20065,1.0,0.849609375,512,512,,410
20066,1.0,0.911,512,512,,577
20067,2.5,0.802734,512,512,,193
20068,5.0,0.896,512,512,,99
20069,3.0,0.7578125,512,512,,131
20070,5.0,0.723,512,512,,94
20071,1.5,0.78125,512,643,,294
20072,1.5,0.5792149254,512,670,,283
20073,1.25,0.976562,512,512,,492
20074,2.0,0.837890625,512,512,,239
20075,5.0,0.761,512,512,,93
20076,2.5,0.976562,512,512,,214
20077,3.0,0.9765625,512,512,,149
20078,5.0,0.681641,512,512,,85
20079,2.5,0.960938,512,512,,239
20080,2.0,0.9453125,512,512,,277
20081,5.0,0.723,512,512,,85
20082,2.5,0.796875,512,512,,180
20083,5.0,0.703125,512,512,,84
20084,1.25,0.763672,512,512,,352
20085,0.8,0.962890625,512,512,,585
20086,3.75,0.839844,512,512,,135
20087,1.0,0.831,512,512,,582
20088,1.25,0.724609,512,512,,394
20089,1.25,0.775391,512,512,,394
20090,2.5,0.767578,512,512,,224
20091,0.625,0.976562,512,512,,885
20092,3.0,0.75743359375,512,512,,183
20093,1.5,0.76953125,512,512,,458
20094,2.5,0.967,512,512,,474
20095,2.0,0.835,512,512,,251
20096,1.4,0.9765625,512,512,,393
20097,2.5,0.869141,512,512,,441
20098,2.0,0.935546875,512,512,,260
20099,2.5,0.791016,512,512,,182
20100,2.0,0.9765625,512,512,,295
20101,1.0,0.765625,512,512,,504
20102,2.5,0.912109,512,512,,459
20103,2.5,0.839844,512,512,,183
20104,1.5,0.6640625,512,512,,285
20105,3.0,0.67387890625,512,512,,138
20106,1.25,0.695312,512,512,,385
20107,2.0,0.723,512,512,,255
20108,1.0,0.689453125,512,512,,447
20109,1.25,0.851562,512,512,,370
20110,1.25,0.839844,512,512,,600
20111,1.0,0.873,512,512,,512
20112,3.0,0.896484375,512,512,,187
20113,1.0,0.942,512,512,,502
20114,3.0,0.957,512,512,,175
20115,3.0,0.761,512,512,,145
20116,5.0,0.703125,512,512,,94
20117,2.0,0.877,512,512,,242
20118,5.0,0.793,512,512,,89
20119,1.25,0.960938,512,512,,468
20120,3.0,0.866,512,512,,164
20121,1.25,0.976562,512,512,,477
20122,2.5,0.976562,512,512,,200
20123,3.75,0.876953,512,512,,132
20124,3.0,0.9,512,512,,182
20125,2.5,0.671875,512,512,,199
20126,0.75,0.71484375,512,512,,692
20127,1.0,0.806,512,512,,519
20128,5.0,0.966797,512,512,,121
20129,3.0,0.785,512,512,,140
20130,5.0,0.916016,512,512,,110
20131,3.0,0.827,512,512,,154
20132,3.0,0.991,512,512,,159
20133,1.0,0.875,512,512,,562
20134,5.0,0.972,512,512,,93
20135,1.0,0.846,512,512,,594
20136,2.0,0.771484375,512,512,,290
20137,3.0,0.828125,512,512,,371
20138,5.0,0.845,512,512,,107
20139,1.5,0.9765625,512,512,,362
20140,1.0,0.82421875,512,512,,605
20141,1.5,0.9765625,512,512,,350
20142,5.0,0.68359375,512,512,,102
20143,1.0,0.9765625,512,512,,549
20144,5.0,0.938,512,512,,90
20145,2.0,0.927,512,512,,228
20146,1.0,0.724,512,512,,476
20147,1.0,0.657,512,512,,421
20148,1.5,0.9765625,512,512,,444
20149,1.0,0.744140625,512,512,,721
20150,0.5,0.782,512,512,,1301
20151,1.5,0.8721875,512,512,,338
20152,5.0,0.970703,512,512,,117
20153,1.5,0.72866796875,512,512,,308
20154,5.0,0.9765625,512,512,,125
20155,3.0,0.907,512,512,,171
20156,2.5,0.761719,512,512,,196
20157,0.625,0.7597659826,512,512,,1172
20158,5.0,0.85153515625,512,512,,102
20159,2.0,0.75762109375,512,512,,237
20160,3.0,0.816,512,512,,162
20161,3.0,0.740234375,512,512,,140
20162,5.0,0.785,512,512,,113
20163,3.0,0.7578125,512,512,,157
20164,1.25,0.839844,512,512,,378
20165,1.0,0.9765625,512,512,,574
20166,1.25,0.789,512,512,,378
20167,2.0,0.7878515625,512,512,,321
20168,2.0,0.885,512,512,,233
20169,3.0,0.896,512,512,,252
20170,2.5,0.839844,512,512,,183
20171,3.0,0.953,512,512,,154
20172,3.0,0.9765625,512,512,,388
20173,1.0,0.927,512,512,,596
20174,5.0,0.724,512,512,,91
20175,3.0,0.95703125,512,512,,168
20176,5.0,0.68359375,512,512,,83
20177,1.25,0.888672,512,512,,425
20178,2.5,0.9375,512,512,,233
20179,2.5,0.826172,512,512,,186
20180,2.0,0.585938,512,512,,454
20181,1.25,0.712,512,512,,414
20182,3.0,0.720703125,512,512,,160
20183,1.0,0.782,512,512,,563
20184,2.5,0.894531,512,512,,206
20185,1.25,0.855469,512,512,,403
20186,3.0,0.9375,512,512,,264
20187,1.5,0.763671875,512,512,,280
20188,1.5,0.8046875,512,512,,490
20189,1.5,0.9598671875,512,512,,283
20190,1.25,0.84375,512,512,,384
20191,1.25,0.933594,512,512,,787
20192,3.0,1.007,512,512,,188
20193,1.25,0.976562,512,512,,425
20194,1.0,0.751953125,512,512,,531
20195,1.25,0.703125,512,512,,357
20196,3.0,0.678421875,512,512,,187
20197,1.5,0.6171875,512,512,,294
20198,5.0,0.723,512,512,,92
20199,3.0,0.864953125,512,512,,200
20200,1.0,0.843,512,512,,613
20201,2.0,0.816,512,512,,110
20202,2.5,0.871094,512,512,,177
20203,5.0,0.839844,512,512,,156
20204,3.0,0.90430078125,512,512,,191
20205,1.25,0.734375,512,512,,448
20206,1.25,0.978,512,512,,455
20207,5.0,0.797,512,512,,101
20208,1.25,0.800781,512,512,,432
20209,1.25,0.791016,512,512,,436
20210,0.8,0.9765625,512,512,,593
20211,1.5,0.83203125,512,512,,407
20212,2.0,0.763,512,512,,263
20213,1.5,0.73828125,512,512,,325
20214,1.25,0.771484,512,512,,404
20215,1.25,0.976562,512,512,,418
20216,1.5,0.9765625,512,512,,458
20217,1.25,0.845703,512,512,,366
20218,0.5,0.881,512,512,,949
20219,1.5,0.947265625,512,512,,326
20220,5.0,1.049,512,512,,128
20221,2.0,0.902,512,512,,301
20222,5.0,0.720703125,512,512,,127
20223,3.0,0.761,512,512,,171
20224,1.25,0.976562,512,512,,548
20225,5.0,0.888,512,512,,96
20226,1.5,0.9375,512,512,,312
20227,2.5,0.771484,512,512,,186
20228,3.0,0.679,512,512,,167
20229,2.5,0.798828,512,512,,205
20230,1.25,0.798828,512,512,,410
20231,5.0,0.841796875,512,512,,96
20232,5.0,0.763,512,512,,103
20233,5.0,1.018,512,512,,102
20234,5.0,0.974609375,512,512,,223
20235,5.0,0.916015625,512,512,,122
20236,2.0,0.9453125,512,512,,297
20237,3.0,0.86285546875,512,512,,179
20238,5.0,0.93,512,512,,193
20239,3.0,0.78125,512,512,,310
20240,0.8,0.705078125,512,512,,654
20241,2.0,0.782,512,512,,286
20242,1.25,0.90625,512,512,,400
20243,3.0,0.93359375,512,512,,192
20244,3.0,0.69921875,512,512,,157
20245,1.25,0.902344,512,512,,397
20246,1.0,0.81640625,512,512,,473
20247,5.0,0.723,512,512,,51
20248,2.0,0.89453125,512,512,,481
20249,3.0,0.90625,512,512,,366
20250,2.5,0.908203,512,512,,229
20251,1.25,0.794922,512,512,,453
20252,2.0,0.869140625,512,512,,230
20253,1.25,0.949219,512,512,,477
20254,2.0,0.724,512,512,,272
20255,2.0,0.953,512,512,,248
20256,1.25,0.876953,512,512,,390
20257,5.0,0.91015625,512,512,,129
20258,2.0,0.789,512,512,,217
20259,2.0,0.71875,512,512,,228
20260,3.0,0.900390625,512,512,,198
20261,5.0,0.7109375,512,512,,113
20262,1.5,0.93116015625,512,512,,346
20263,3.0,0.927734375,512,512,,175
20264,5.0,0.919,512,512,,97
20265,1.25,0.947266,512,512,,372
20266,1.0,0.856,512,512,,614
20267,5.0,0.8398438,512,512,,109
20268,3.0,0.80859375,512,512,,182
20269,1.0,0.957,512,512,,626
20270,2.0,0.85,512,512,,278
20271,3.0,0.77734375,512,512,,150
20272,1.25,0.976562,512,512,,492
20273,1.0,0.896,512,512,,496
20274,5.0,0.801,512,512,,103
20275,3.0,0.783203125,512,512,,178
20276,3.0,0.946,512,512,,166
20277,1.25,0.839844,512,512,,337
20278,3.0,0.646484,811,528,,71
20279,1.5,0.958984375,512,512,,494
20280,1.5,0.912109375,512,512,,498
20281,1.5,0.830078125,512,512,,475
20282,1.5,0.689453125,512,512,,361
20283,5.0,0.773438,512,512,,108
20284,5.0,0.763,512,512,,90
20285,1.25,0.847656,512,512,,402
20286,3.0,0.782,512,512,,158
20287,3.0,0.808,512,512,,179
20288,1.25,0.869141,512,512,,357
20289,3.0,0.608465625,512,640,,196
20290,1.25,0.835938,512,512,,455
20291,2.0,1.037,512,512,,218
20292,1.25,0.929688,512,512,,409
20293,1.25,0.839844,512,512,,521
20294,1.25,0.947266,512,512,,404
20295,1.0,0.961,512,512,,491
20296,1.25,0.742188,512,512,,532
20297,5.0,0.849609,512,512,,105
20298,0.625,0.849609,512,512,,840
20299,3.0,0.785,512,512,,168
20300,3.75,0.835938,512,512,,119
20301,3.0,0.723,512,512,,129
20302,1.5,0.89419921875,512,512,,369
20303,1.5,0.884765625,512,512,,272
20304,1.25,0.976562,512,512,,531
20305,5.0,0.841296875,512,512,,112
20306,5.0,0.9765625,512,512,,97
20307,1.5,0.9765625,512,512,,331
20308,5.0,0.724,512,512,,97
20309,1.5,0.736328125,512,512,,448
20310,5.0,0.889,512,512,,88
20311,2.0,0.816,512,512,,491
20312,5.0,0.85,512,512,,114
20313,0.5,0.683,512,512,,2051
20314,3.0,0.729,512,512,,229
20315,5.0,0.888,512,512,,177
20316,5.0,0.878906,512,512,,248
20317,1.5,0.755859375,512,512,,636
20318,1.5,0.814453125,512,512,,334
20319,2.0,0.763,512,512,,291
20320,5.0,0.9765625,512,512,,137
20321,5.0,0.9765625,512,512,,126
20322,1.25,0.943359,512,512,,1109
20323,3.0,0.869,512,512,,252
20324,1.25,0.976562,512,512,,518
20325,5.0,0.763,512,512,,79
20326,1.0,0.9609375,512,512,,1179
20327,1.5,0.55183984375,512,512,,513
20328,3.0,0.84375,512,512,,223
20329,1.0,0.923828125,512,512,,659
20330,1.5,0.94921875,512,512,,893
20331,3.0,0.97631640625,512,512,,141
20332,5.0,0.703125,512,512,,110
20333,2.0,0.97265625,512,512,,644
20334,2.5,0.976562,512,512,,257
20335,2.0,0.68359375,512,512,,518
20336,2.5,0.703125,512,512,,196
20337,3.0,0.86490625,512,512,,207
20338,1.0,0.74,512,512,,451
20339,3.0,1.064,512,512,,243
20340,2.5,0.976562,512,512,,229
20341,2.0,0.919,512,512,,241
20342,1.0,0.826171875,512,512,,810
20343,3.0,0.931640625,512,512,,225
20344,5.0,0.902344,512,512,,134
20345,2.0,0.793,512,512,,299
20346,3.0,0.705,512,512,,227
20347,1.0,0.66015625,512,512,,483
20348,5.0,0.824,512,512,,97
20349,2.0,0.908203125,512,512,,252
20350,5.0,0.7421875,512,512,,89
20351,5.0,0.761,512,512,,271
20352,5.0,0.969,512,512,,100
20353,1.5,0.70080859375,512,512,,447
20354,2.0,0.798828125,512,512,,310
20355,3.0,0.888671875,512,512,,190
20356,5.0,0.826171875,512,512,,141
20357,5.0,0.703125,512,512,,130
20358,1.25,0.953125,512,512,,556
20359,2.5,0.75,512,512,,362
